question_id,type,subtype,question_created_at,question_updated_at
78a8ffd7-3df6-4835-a475-f5f2c773c962,DEPRESSION_PHQ2_GAD1,LITTLE_INTEREST,2021-12-06 07:52:00,2021-12-06 07:53:01
d9061e22-c793-40e8-942b-909b06c5bf47,DEPRESSION_PHQ2_GAD1,FEELING_DOWN,2021-12-06 07:52:00,2021-12-06 07:53:02
e93c4790-bf91-410c-8a13-4f6e693e3f27,DEPRESSION_PHQ2_GAD1,FEELING_NERVOUS,2021-12-06 07:52:00,2021-12-06 07:53:04
26a48c56-3909-4dc8-9e58-db7a828a6940,LONELINESS_SCALE,LACK_COMPANIONSHIP,2021-12-06 07:52:00,2021-12-06 07:53:06
12dcf296-ff37-434e-bf20-838efff17279,LONELINESS_SCALE,LEFT_OUT,2021-12-06 07:52:00,2021-12-06 07:53:07
f5f340de-31f6-48ff-af2c-8ec52792fb73,LONELINESS_SCALE,ISOLATED,2021-12-06 07:52:00,2021-12-06 07:53:09
8d20fc29-fdeb-4d10-a34c-2548d99cc25f,SUBSTANCE_USE_AUDIT_C2,ALCOHOL_DAYS_PER_MONTH,2021-12-06 07:52:00,2021-12-06 07:53:12
ae3d7bc3-4274-4440-b17e-2944c7f47c3b,SUBSTANCE_USE_AUDIT_C2,ALCOHOL_DRINKS_PER_DAY,2021-12-06 07:52:00,2021-12-06 07:53:14
844b3b23-6d0d-4046-8820-db27483471b5,SUBSTANCE_USE_AUDIT_C2,HIGH_ALCOHOL_CONSUMPTION,2021-12-06 07:52:00,2021-12-06 07:53:16
6e753f3d-4697-4501-b770-b2938a3c2eb7,SUBSTANCE_USE_AUDIT_C2,MARIJUANA_CONSUMPTION,2021-12-06 07:52:00,2021-12-06 07:53:17
5ad9e449-97db-4c1f-8558-3b7fa3f3a4eb,SUBSTANCE_USE_AUDIT_C2,DRUGS_CONSUMPTION,2021-12-06 07:52:00,2021-12-06 07:53:18
4cca7e0d-2314-4415-aeff-97eacc81f33d,UNHEALTHY_DAYS_REDUCTION,PHYSICAL,2021-12-06 07:52:00,2021-12-06 07:53:23
12c6984f-e564-4dfc-a46a-383333bc5641,UNHEALTHY_DAYS_REDUCTION,MENTAL,2021-12-06 07:52:00,2021-12-06 07:53:25
4948c876-0a53-40a3-9584-27bc7a39a9d1,DEMOGRAPHICS,AGE,2021-12-06 07:52:00,2021-12-06 07:53:38
07140580-d6a6-401c-9467-99e1451b47de,DEMOGRAPHICS,GENDER,2021-12-06 07:52:00,2021-12-06 07:53:41
196d09e0-99ee-4aac-b072-0311c4aa11fe,DEMOGRAPHICS,RACE,2021-12-06 07:52:00,2021-12-06 07:53:44
bef81d38-1812-4c7b-80d4-3e5e4d235a2f,DEPRESSION_PHQ2_GAD1,LITTLE_INTEREST,2021-12-08 05:20:15,2021-12-08 05:21:30
4ef13f11-b22f-4317-9d35-43fcce910de7,DEPRESSION_PHQ2_GAD1,FEELING_DOWN,2021-12-08 05:20:15,2021-12-08 05:21:32
8a6ae6dc-a189-49f9-b39d-b8836f11cd50,DEPRESSION_PHQ2_GAD1,FEELING_NERVOUS,2021-12-08 05:20:15,2021-12-08 05:21:33
4d64a217-dd4f-43aa-bc5c-0e1f36c81394,LONELINESS_SCALE,LACK_COMPANIONSHIP,2021-12-08 05:20:15,2021-12-08 05:21:36
d4c05538-8b76-451f-b1b1-b9c516def386,LONELINESS_SCALE,LEFT_OUT,2021-12-08 05:20:15,2021-12-08 05:21:37
d035da06-3b36-42ab-a2fc-fa78352859ba,LONELINESS_SCALE,ISOLATED,2021-12-08 05:20:15,2021-12-08 05:21:39
00e0134d-7368-42eb-b6e1-c2cfcf4add57,SUBSTANCE_USE_AUDIT_C2,ALCOHOL_DAYS_PER_MONTH,2021-12-08 05:20:15,2021-12-08 05:21:40
006b79eb-31e8-42c0-ac1b-1cca4d968be0,SUBSTANCE_USE_AUDIT_C2,ALCOHOL_DRINKS_PER_DAY,2021-12-08 05:20:15,2021-12-08 05:21:41
dce7c75d-ca4a-4329-a95d-dfed7f920eb7,SUBSTANCE_USE_AUDIT_C2,HIGH_ALCOHOL_CONSUMPTION,2021-12-08 05:20:15,2021-12-08 05:21:42
6db5ae8e-c974-40a9-9976-24731d9651b8,SUBSTANCE_USE_AUDIT_C2,MARIJUANA_CONSUMPTION,2021-12-08 05:20:15,2021-12-08 05:21:43
5ecf1ebf-269a-4188-9828-a1a49a811e6f,SUBSTANCE_USE_AUDIT_C2,DRUGS_CONSUMPTION,2021-12-08 05:20:15,2021-12-08 05:21:45
ecbbb69d-2fbe-4cd4-ac8e-c38e4df1472b,UNHEALTHY_DAYS_REDUCTION,PHYSICAL,2021-12-08 05:20:15,2021-12-08 05:21:47
34c54887-878b-46e7-8e41-574b7c994557,UNHEALTHY_DAYS_REDUCTION,MENTAL,2021-12-08 05:20:15,2021-12-08 05:21:48
c21e5d10-3e7e-425d-b3cd-c2e467015962,DEMOGRAPHICS,AGE,2021-12-08 05:20:15,2021-12-08 05:21:51
35d2e8d2-7987-45fb-9e60-39fb7e6a4c43,DEMOGRAPHICS,GENDER,2021-12-08 05:20:15,2021-12-08 05:21:54
83e75403-3fb5-4eae-b71f-f3ffad3b1a9c,DEMOGRAPHICS,RACE,2021-12-08 05:20:15,2021-12-08 05:21:56
bbe87788-8482-42e9-8fd0-117bf3aa8ec5,DEPRESSION_PHQ2_GAD1,LITTLE_INTEREST,2021-12-14 12:43:51,2021-12-14 12:49:59
743f5192-e738-43f7-a900-3766d24259f0,DEPRESSION_PHQ2_GAD1,FEELING_DOWN,2021-12-14 12:43:51,2021-12-14 12:50:12
c807b849-8f41-44bc-a7bc-f398f52e7ca6,DEPRESSION_PHQ2_GAD1,FEELING_NERVOUS,2021-12-14 12:43:51,2021-12-14 12:50:14
41395769-3166-4561-a568-ad00da94b23e,LONELINESS_SCALE,LACK_COMPANIONSHIP,2021-12-14 12:43:51,2021-12-14 12:50:16
5fe9d352-d149-4711-bc3d-5d618681445a,LONELINESS_SCALE,LEFT_OUT,2021-12-14 12:43:51,2021-12-14 12:50:18
